skill_hero;skill_num;skill_name;skill_description;skill_troop_type;skill_permanent;skill_first_round;skill_last_round;skill_frequency;skill_frequency_type;skill_is_chance;skill_probability;skill_round_stackable;skill_type_relation;skill_order;effect_num;affects_opponent;effect_type;effect_op;trig_by_unit;trig_vs_unit;benefit_for_unit;benefit_vs_unit;extra_attack;effect_duration;effect_duration_type;effect_lag;effect_is_chance;proba_1;proba_2;proba_3;proba_4;proba_5;effect_1;effect_2;effect_3;effect_4;effect_5;special;;;
Sergey;1;Defender's edge;Reduces damage taken by X% for all troops;infantry;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DefenseUp;111;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;4;8;12;16;20;-;;;
Sergey;2;Weaken;Reduces Attack by X% for all enemy troops;infantry;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;OppDamageDown;202;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;4;8;12;16;20;-;;;
Patrick ;1;Super nutrients ;Increasing Health by X% for all troop;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DefenseUp;113;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Patrick ;2;Caloric booster;Increasing Attack by X% for all troops;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;102;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Bahiti;1;Sixth Sense ;Reducing damage taken by X% for all troops;marksmen;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DefenseUp;111;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;4;8;12;16;20;-;;;
Bahiti;2;Fluorescence;Grants all troops' attack a 50% chance of increasing damage dealt by X%;marksmen;FALSE;0;0;1;turn;FALSE;0;TRUE;FALSE;1;1;FALSE;DamageUp;101;all;all;trigger;target;TRUE;1;attack;0;TRUE;50;50;50;50;50;10;20;30;40;50;-;;;
Jessie;1;Stand of Arms;Increasing damage dealt by X% for all troops ;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;101;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Jessie;2;Bulwarks ;Reducing damage taken by X% for all troops;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DefenseUp;111;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;4;8;12;16;20;-;;;
Seo-yoon ;1;Rallying Beat;Increasing all Troops Attack by X%;marksmen;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;102;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Jasser;1;Tactical genius;Increasing damage dealt by X% for all troops ;marksmen;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;101;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Lumak;1;Tactical Deception;All enemy troops' damage dealt is reduced by X%;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;TRUE;OppDamageDown;201;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;4;8;12;16;20;-;;;
Ling;1;Fearsome aura;Reducing all enemy Troops' Attack by X%;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;TRUE;OppDamageDown;202;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;4;8;12;16;20;-;;;
Molly;1;Calling of the storm;Granting all troops' attack a X% chance of stunning the target for 1 turn ;lancer;FALSE;0;0;1;turn;FALSE;0;TRUE;FALSE;1;1;TRUE;Stun;0;all;all;all;target;FALSE;1;turn;1;TRUE;4;8;12;16;20;0;0;0;0;0;-;;;
Molly;2;Ice Dominion;Granting all troops' attack a 50% chance of increasing damage dealt by X%;lancer;FALSE;0;0;1;turn;FALSE;0;TRUE;FALSE;1;1;FALSE;DamageUp;101;all;all;trigger;target;TRUE;1;attack;0;TRUE;50;50;50;50;50;10;20;30;40;50;-;;;
Molly;3;Youthful rage;Increasing damage dealt by X% for all troops;lancer;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;101;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Zinman;1;Implacable ;Increasing all troops' Defense by X% and Health by X%;marksmen;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DefenseUp;112;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;2;4;6;8;10;-;;;
Zinman;1;Implacable ;Increasing all troops' Defense by X% and Health by X%;marksmen;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;2;FALSE;DefenseUp;113;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;2;4;6;8;10;-;;;
Zinman;3;Positional Battler ;Increasing damage dealt by X% for all troops ;marksmen;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;101;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Natalia;1;Wildling roar ;Granting all troops' attack a X% chance of stunning the target for 1 turn ;infantry;FALSE;0;0;1;turn;FALSE;0;TRUE;FALSE;1;1;TRUE;Stun;0;infantry;all;all;target;FALSE;1;turn;1;TRUE;4;8;12;16;20;0;0;0;0;0;-;;;
Natalia;2;Queen of the wild;Increasing Attack by X% for all troops;infantry;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;102;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Natalia;3;Call of the wild;Increasing damage dealt by X% for all troops;infantry;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;101;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
Jeronimo;1;Battle manifesto;Increasing damage dealt by X% for all troops;infantry;TRUE;0;0;0;NONE;FALSE;0;FALSE;FALSE;1;1;FALSE;DamageUp;101;once;all;all;all;FALSE;-1;turn;0;FALSE;0;0;0;0;0;5;10;15;20;25;-;;;
